public-global-fishing-effort-v20231026
Latitude,Longitude,Time Range,MMSI,Entry Timestamp,Exit Timestamp,Apparent Fishing Hours
23.100000,119.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412060105,2024-01-02T05:00:00Z,2024-05-21T06:00:00Z,53.43
21.400000,116.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412311946,2024-03-26T01:00:00Z,2024-03-26T12:00:00Z,9.69
19.200000,115.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451756,2024-03-24T05:00:00Z,2024-04-13T20:00:00Z,71.09
19.300000,115.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451756,2024-03-24T05:00:00Z,2024-04-13T20:00:00Z,1.60
23.000000,118.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412446969,2024-03-14T19:00:00Z,2024-04-26T01:00:00Z,6.75
22.900000,118.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412594342,2024-01-12T21:00:00Z,2024-02-03T16:00:00Z,22.85
21.000000,115.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412460701,2024-01-01T05:00:00Z,2024-04-11T18:00:00Z,9.43
18.300000,116.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412338201,2024-03-14T13:00:00Z,2024-04-19T19:00:00Z,9.20
20.300000,115.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412460701,2024-01-01T05:00:00Z,2024-04-11T18:00:00Z,5.22
18.900000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412338201,2024-03-14T13:00:00Z,2024-04-19T19:00:00Z,0.27
20.500000,115.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452103,2024-03-22T16:00:00Z,2024-04-19T16:00:00Z,5.85
20.500000,117.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450495,2024-03-19T16:00:00Z,2024-04-23T14:00:00Z,0.10
20.300000,117.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451618,2024-03-13T15:00:00Z,2024-05-18T11:00:00Z,10.42
20.400000,118.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451618,2024-03-13T15:00:00Z,2024-05-18T11:00:00Z,4.16
20.100000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448835,2024-03-04T21:00:00Z,2024-04-19T13:00:00Z,1.10
20.200000,118.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448835,2024-03-04T21:00:00Z,2024-04-19T13:00:00Z,0.51
20.900000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450495,2024-03-19T16:00:00Z,2024-04-23T14:00:00Z,1.35
18.700000,117.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412285502,2024-03-15T06:00:00Z,2024-04-14T22:00:00Z,16.36
17.900000,116.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449948,2024-02-29T11:00:00Z,2024-04-22T05:00:00Z,2.05
23.100000,118.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412446237,2024-01-11T15:00:00Z,2024-04-25T08:00:00Z,24.79
23.800000,118.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449948,2024-02-29T11:00:00Z,2024-04-22T05:00:00Z,0.33
19.200000,116.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449948,2024-02-29T11:00:00Z,2024-04-22T05:00:00Z,24.26
18.700000,115.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448632,2024-03-03T13:00:00Z,2024-04-24T21:00:00Z,2.22
19.000000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450911,2024-03-04T03:00:00Z,2024-04-06T20:00:00Z,10.05
20.100000,118.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448882,2024-03-03T12:00:00Z,2024-03-08T09:00:00Z,0.58
23.800000,118.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444775,2024-01-04T21:00:00Z,2024-02-19T23:00:00Z,19.52
21.300000,116.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451949,2024-01-01T08:00:00Z,2024-04-25T05:00:00Z,3.35
21.200000,115.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451949,2024-01-01T08:00:00Z,2024-04-25T05:00:00Z,1.93
21.100000,115.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451949,2024-01-01T08:00:00Z,2024-04-25T05:00:00Z,0.27
19.100000,118.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412201686,2024-03-30T10:00:00Z,2024-04-06T20:00:00Z,3.45
23.800000,118.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451273,2024-02-17T02:00:00Z,2024-04-17T22:00:00Z,3.40
18.200000,116.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412201686,2024-03-30T10:00:00Z,2024-04-06T20:00:00Z,27.01
23.800000,119.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452772,2024-04-28T12:00:00Z,2024-04-28T13:00:00Z,3.36
23.000000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412446821,2024-04-11T13:00:00Z,2024-04-29T15:00:00Z,72.87
20.300000,117.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450958,2024-03-28T16:00:00Z,2024-04-18T14:00:00Z,48.12
19.300000,115.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412459909,2024-03-12T19:00:00Z,2024-04-18T17:00:00Z,9.99
19.200000,118.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451687,2024-02-29T10:00:00Z,2024-03-20T15:00:00Z,4.32
21.000000,115.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451909,2024-01-29T15:00:00Z,2024-04-07T02:00:00Z,1.86
20.800000,115.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412461933,2024-04-13T13:00:00Z,2024-04-14T09:00:00Z,2.19
19.300000,117.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449091,2024-02-29T10:00:00Z,2024-04-20T14:00:00Z,2.60
22.900000,118.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445969,2024-04-02T09:00:00Z,2024-04-02T17:00:00Z,2.92
18.800000,118.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451687,2024-03-28T08:00:00Z,2024-04-19T15:00:00Z,4.30
18.700000,116.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449091,2024-02-29T10:00:00Z,2024-04-20T14:00:00Z,14.65
18.900000,117.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449091,2024-02-29T10:00:00Z,2024-04-20T14:00:00Z,0.63
19.000000,118.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449091,2024-02-29T10:00:00Z,2024-04-20T14:00:00Z,7.06
20.700000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412470467,2024-04-05T08:00:00Z,2024-04-13T04:00:00Z,1.14
21.900000,116.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412467825,2024-03-15T21:00:00Z,2024-05-23T21:00:00Z,0.55
21.100000,115.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412475177,2024-04-07T10:00:00Z,2024-04-17T14:00:00Z,4.36
21.500000,116.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412461127,2024-01-05T08:00:00Z,2024-03-29T19:00:00Z,10.37
21.600000,116.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412461127,2024-01-05T08:00:00Z,2024-03-29T19:00:00Z,0.67
21.000000,115.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444317,2024-01-05T18:00:00Z,2024-01-05T20:00:00Z,12.12
19.300000,115.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451798,2024-03-03T10:00:00Z,2024-04-15T17:00:00Z,1.81
23.000000,118.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412447168,2024-01-01T03:00:00Z,2024-04-23T10:00:00Z,9.00
20.100000,117.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448735,2024-02-29T13:00:00Z,2024-04-22T14:00:00Z,17.65
18.800000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450532,2024-02-29T10:00:00Z,2024-04-02T02:00:00Z,37.19
18.700000,116.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450532,2024-02-29T10:00:00Z,2024-04-02T02:00:00Z,6.10
19.100000,117.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450532,2024-02-29T10:00:00Z,2024-04-02T02:00:00Z,0.82
22.900000,118.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445789,2024-03-15T13:00:00Z,2024-04-30T07:00:00Z,2.07
21.700000,118.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448735,2024-02-29T13:00:00Z,2024-04-22T14:00:00Z,2.60
